"fips","county","state","population_county","population_state","hsa_nci_id","population_hsa","urban_hsa","population_county_2020_hsa","pct_urban","area_km2_state","area_km2_hsa","density_state","density_hsa","pop_ratio","log_density_hsa"
"13163","Jefferson","Georgia",15468,10822590,250,35361,796,35697,0.022298792615626,152659.26354994,3145.91488028046,70.8937652935787,11.240291408281,0.00326733249619546,2.41950477013312
"13165","Jenkins","Georgia",8674,10822590,830,428239,25269,425209,0.0594272463659048,152659.26354994,6082.59907084595,70.8937652935787,70.4039498596184,0.0395689941132391,4.25424936755061
"13167","Johnson","Georgia",9192,10822590,206,140333,8146,140678,0.057905287251738,152659.26354994,8269.56977891175,70.8937652935787,16.9698066225723,0.0129666743358106,2.83143568392913
"13169","Jones","Georgia",28526,10822590,193,468099,24023,464547,0.0517127438127897,152659.26354994,9253.84237786088,70.8937652935787,50.5842849798146,0.04325203116814,3.92364095453402
"13171","Lamar","Georgia",19098,10822590,269,66494,1456,65089,0.0223693711687075,152659.26354994,1899.01309050064,70.8937652935787,35.0150298239757,0.00614400065049124,3.55577739285567
"13173","Lanier","Georgia",10094,10822590,180,184759,12669,183515,0.0690352287278969,152659.26354994,6013.44049038155,70.8937652935787,30.7243416303064,0.0170716067041254,3.42505522740499
"13175","Laurens","Georgia",49619,10822590,206,140333,8146,140678,0.057905287251738,152659.26354994,8269.56977891175,70.8937652935787,16.9698066225723,0.0129666743358106,2.83143568392913
"13177","Lee","Georgia",33337,10822590,144,174932,4586,177498,0.025836910838432,152659.26354994,8828.88687162818,70.8937652935787,19.8135962713655,0.016163598547113,2.98636838241539
"13179","Liberty","Georgia",66826,10822590,143,531382,43856,519838,0.0843647444011403,152659.26354994,7901.92827696734,70.8937652935787,67.2471302414729,0.0490993375892462,4.20837434458218
"13181","Lincoln","Georgia",7773,10822590,830,428239,25269,425209,0.0594272463659048,152659.26354994,6082.59907084595,70.8937652935787,70.4039498596184,0.0395689941132391,4.25424936755061
"13183","Long","Georgia",17512,10822590,143,531382,43856,519838,0.0843647444011403,152659.26354994,7901.92827696734,70.8937652935787,67.2471302414729,0.0490993375892462,4.20837434458218
"13185","Lowndes","Georgia",119055,10822590,180,184759,12669,183515,0.0690352287278969,152659.26354994,6013.44049038155,70.8937652935787,30.7243416303064,0.0170716067041254,3.42505522740499
"13187","Lumpkin","Georgia",33931,10822590,157,403526,70593,392616,0.179801638241946,152659.26354994,5657.81527842795,70.8937652935787,71.3218760496758,0.0372855296190653,4.26720309732755
"13189","McDuffie","Georgia",21687,10822590,830,428239,25269,425209,0.0594272463659048,152659.26354994,6082.59907084595,70.8937652935787,70.4039498596184,0.0395689941132391,4.25424936755061
"13191","McIntosh","Georgia",11187,10822590,890,183092,12587,180781,0.0696256796897904,152659.26354994,7405.611015031,70.8937652935787,24.723415749002,0.0169175770310064,3.20775080059248
"13193","Macon","Georgia",11953,10822590,197,80932,3945,81800,0.0482273838630807,152659.26354994,5076.90222614297,70.8937652935787,15.9412169852808,0.00747806209049775,2.76890801833233
"13195","Madison","Georgia",30914,10822590,829,385812,36780,374827,0.0981252684571816,152659.26354994,3992.17610252051,70.8937652935787,96.6420293324267,0.0356487679936134,4.5710137328529
"13197","Marion","Georgia",7474,10822590,893,274165,21663,276595,0.0783202877853902,152659.26354994,6606.01305813172,70.8937652935787,41.50234000257,0.0253326606662546,3.72574981125114
"13199","Meriwether","Georgia",20757,10822590,894,252265,14737,247609,0.0595172227180757,152659.26354994,4400.55888405872,70.8937652935787,57.3256730898079,0.0233091154705112,4.04874857032018
"13201","Miller","Georgia",5873,10822590,228,44108,2275,44514,0.0511075167363077,152659.26354994,3015.24737245033,70.8937652935787,14.6283188580165,0.00407554938328071,2.68295929783577
"13205","Mitchell","Georgia",21441,10822590,178,93193,5814,93789,0.0619902120717781,152659.26354994,3957.13073742918,70.8937652935787,23.5506497469286,0.008610970202142,3.15915341018495
"13207","Monroe","Georgia",28919,10822590,193,468099,24023,464547,0.0517127438127897,152659.26354994,9253.84237786088,70.8937652935787,50.5842849798146,0.04325203116814,3.92364095453402
"13209","Montgomery","Georgia",8675,10822590,206,140333,8146,140678,0.057905287251738,152659.26354994,8269.56977891175,70.8937652935787,16.9698066225723,0.0129666743358106,2.83143568392913
"13211","Morgan","Georgia",20614,10822590,164,40200,2001,39012,0.0512919101814826,152659.26354994,1971.08721640413,70.8937652935787,20.3948357360549,0.00371445282506313,3.01528171860887
"13213","Murray","Georgia",40282,10822590,145,143400,42830,142837,0.299852279171363,152659.26354994,1651.81975844097,70.8937652935787,86.8133458673144,0.0132500630625386,4.46376036407907
"13215","Muscogee","Georgia",204383,10822590,893,274165,21663,276595,0.0783202877853902,152659.26354994,6606.01305813172,70.8937652935787,41.50234000257,0.0253326606662546,3.72574981125114
"13217","Newton","Georgia",115530,10822590,827,115530,7164,112483,0.0636896242098806,152659.26354994,723.396657059998,70.8937652935787,159.704912750817,0.0106748939024762,5.07332781711987
"13219","Oconee","Georgia",42788,10822590,829,385812,36780,374827,0.0981252684571816,152659.26354994,3992.17610252051,70.8937652935787,96.6420293324267,0.0356487679936134,4.5710137328529
"13221","Oglethorpe","Georgia",15221,10822590,829,385812,36780,374827,0.0981252684571816,152659.26354994,3992.17610252051,70.8937652935787,96.6420293324267,0.0356487679936134,4.5710137328529
"13223","Paulding","Georgia",174292,10822590,826,629169,61908,612734,0.101035685958344,152659.26354994,3063.43323427482,70.8937652935787,205.380353310993,0.0581347902858743,5.32486364204812
"13225","Peach","Georgia",28269,10822590,193,468099,24023,464547,0.0517127438127897,152659.26354994,9253.84237786088,70.8937652935787,50.5842849798146,0.04325203116814,3.92364095453402
"13227","Pickens","Georgia",34197,10822590,826,629169,61908,612734,0.101035685958344,152659.26354994,3063.43323427482,70.8937652935787,205.380353310993,0.0581347902858743,5.32486364204812
"13229","Pierce","Georgia",19996,10822590,174,73805,3738,73856,0.0506120017331023,152659.26354994,6118.02230146901,70.8937652935787,12.06353889594,0.0068195321083031,2.49018758904476
"13231","Pike","Georgia",19540,10822590,269,66494,1456,65089,0.0223693711687075,152659.26354994,1899.01309050064,70.8937652935787,35.0150298239757,0.00614400065049124,3.55577739285567
"13233","Polk","Georgia",43365,10822590,154,336814,38056,332847,0.114334814494347,152659.26354994,5109.49755114408,70.8937652935787,65.9192017666361,0.0311213859159406,4.18842977640527
"13235","Pulaski","Georgia",9893,10822590,193,468099,24023,464547,0.0517127438127897,152659.26354994,9253.84237786088,70.8937652935787,50.5842849798146,0.04325203116814,3.92364095453402
"13237","Putnam","Georgia",22524,10822590,201,31154,1620,30782,0.0526281593138847,152659.26354994,2172.52060014121,70.8937652935787,14.3400251293245,0.00287860854009992,2.66305458756356
"13239","Quitman","Georgia",2092,10822590,891,2092,31,2235,0.0138702460850112,152659.26354994,416.44065778212,70.8937652935787,5.02352486700403,0.000193299385821693,1.61413185204315
"13241","Rabun","Georgia",17107,10822590,268,17107,1452,16883,0.0860036723331161,152659.26354994,977.319448703262,70.8937652935787,17.5040003784823,0.00158067523577998,2.86242944786219
"13243","Randolph","Georgia",6270,10822590,144,174932,4586,177498,0.025836910838432,152659.26354994,8828.88687162818,70.8937652935787,19.8135962713655,0.016163598547113,2.98636838241539
"13245","Richmond","Georgia",206040,10822590,830,428239,25269,425209,0.0594272463659048,152659.26354994,6082.59907084595,70.8937652935787,70.4039498596184,0.0395689941132391,4.25424936755061
"13247","Rockdale","Georgia",94293,10822590,825,820822,67911,801432,0.084737070643548,152659.26354994,3200.37633786956,70.8937652935787,256.476711906453,0.0758433979297007,5.54703786870129
"13249","Schley","Georgia",4539,10822590,893,274165,21663,276595,0.0783202877853902,152659.26354994,6606.01305813172,70.8937652935787,41.50234000257,0.0253326606662546,3.72574981125114
"13251","Screven","Georgia",14057,10822590,222,129362,6838,128915,0.0530427025559477,152659.26354994,5917.07722731955,70.8937652935787,21.8624829506579,0.0119529613521347,3.0847720605003
"13253","Seminole","Georgia",9117,10822590,228,44108,2275,44514,0.0511075167363077,152659.26354994,3015.24737245033,70.8937652935787,14.6283188580165,0.00407554938328071,2.68295929783577
"13255","Spalding","Georgia",68215,10822590,204,94289,4469,92740,0.0481884839335777,152659.26354994,1004.19943354459,70.8937652935787,93.8946954662005,0.00871223986125317,4.54217389331075
"13257","Stephens","Georgia",26842,10822590,216,77166,2909,76036,0.0382581934872955,152659.26354994,1831.78778523472,70.8937652935787,42.1260588273397,0.0071300862362891,3.74066652372375
"13259","Stewart","Georgia",4978,10822590,893,274165,21663,276595,0.0783202877853902,152659.26354994,6606.01305813172,70.8937652935787,41.50234000257,0.0253326606662546,3.72574981125114
"13261","Sumter","Georgia",29174,10822590,197,80932,3945,81800,0.0482273838630807,152659.26354994,5076.90222614297,70.8937652935787,15.9412169852808,0.00747806209049775,2.76890801833233
"13263","Talbot","Georgia",5753,10822590,893,274165,21663,276595,0.0783202877853902,152659.26354994,6606.01305813172,70.8937652935787,41.50234000257,0.0253326606662546,3.72574981125114
"13265","Taliaferro","Georgia",1740,10822590,152,9828,174,9658,0.0180161524125078,152659.26354994,1623.19478615569,70.8937652935787,6.05472620034483,0.00090810055633633,1.80083915721219
"13267","Tattnall","Georgia",24215,10822590,143,531382,43856,519838,0.0843647444011403,152659.26354994,7901.92827696734,70.8937652935787,67.2471302414729,0.0490993375892462,4.20837434458218
"13269","Taylor","Georgia",7786,10822590,193,468099,24023,464547,0.0517127438127897,152659.26354994,9253.84237786088,70.8937652935787,50.5842849798146,0.04325203116814,3.92364095453402
"13271","Telfair","Georgia",12174,10822590,206,140333,8146,140678,0.057905287251738,152659.26354994,8269.56977891175,70.8937652935787,16.9698066225723,0.0129666743358106,2.83143568392913
"13273","Terrell","Georgia",8941,10822590,144,174932,4586,177498,0.025836910838432,152659.26354994,8828.88687162818,70.8937652935787,19.8135962713655,0.016163598547113,2.98636838241539
"13275","Thomas","Georgia",45696,10822590,178,93193,5814,93789,0.0619902120717781,152659.26354994,3957.13073742918,70.8937652935787,23.5506497469286,0.008610970202142,3.15915341018495
"13277","Tift","Georgia",41322,10822590,189,76760,7308,77210,0.0946509519492294,152659.26354994,3046.96590622898,70.8937652935787,25.192274007096,0.00709257211074244,3.22653736048997
"13279","Toombs","Georgia",26943,10822590,206,140333,8146,140678,0.057905287251738,152659.26354994,8269.56977891175,70.8937652935787,16.9698066225723,0.0129666743358106,2.83143568392913
"13281","Towns","Georgia",12739,10822590,157,403526,70593,392616,0.179801638241946,152659.26354994,5657.81527842795,70.8937652935787,71.3218760496758,0.0372855296190653,4.26720309732755
"13283","Treutlen","Georgia",6387,10822590,206,140333,8146,140678,0.057905287251738,152659.26354994,8269.56977891175,70.8937652935787,16.9698066225723,0.0129666743358106,2.83143568392913
"13285","Troup","Georgia",69821,10822590,894,252265,14737,247609,0.0595172227180757,152659.26354994,4400.55888405872,70.8937652935787,57.3256730898079,0.0233091154705112,4.04874857032018
"13287","Turner","Georgia",8915,10822590,189,76760,7308,77210,0.0946509519492294,152659.26354994,3046.96590622898,70.8937652935787,25.192274007096,0.00709257211074244,3.22653736048997
"13289","Twiggs","Georgia",7869,10822590,193,468099,24023,464547,0.0517127438127897,152659.26354994,9253.84237786088,70.8937652935787,50.5842849798146,0.04325203116814,3.92364095453402
"13291","Union","Georgia",25598,10822590,157,403526,70593,392616,0.179801638241946,152659.26354994,5657.81527842795,70.8937652935787,71.3218760496758,0.0372855296190653,4.26720309732755
"13293","Upson","Georgia",27856,10822590,269,66494,1456,65089,0.0223693711687075,152659.26354994,1899.01309050064,70.8937652935787,35.0150298239757,0.00614400065049124,3.55577739285567
"13295","Walker","Georgia",68449,10822590,141,153001,4390,151777,0.028924013519835,152659.26354994,2029.97779731069,70.8937652935787,75.3707750905923,0.0141371889723255,4.32241960161028
"13297","Walton","Georgia",100361,10822590,825,820822,67911,801432,0.084737070643548,152659.26354994,3200.37633786956,70.8937652935787,256.476711906453,0.0758433979297007,5.54703786870129
"13299","Ware","Georgia",35958,10822590,174,73805,3738,73856,0.0506120017331023,152659.26354994,6118.02230146901,70.8937652935787,12.06353889594,0.0068195321083031,2.49018758904476
"13301","Warren","Georgia",5175,10822590,152,9828,174,9658,0.0180161524125078,152659.26354994,1623.19478615569,70.8937652935787,6.05472620034483,0.00090810055633633,1.80083915721219
"13303","Washington","Georgia",19893,10822590,250,35361,796,35697,0.022298792615626,152659.26354994,3145.91488028046,70.8937652935787,11.240291408281,0.00326733249619546,2.41950477013312
"13305","Wayne","Georgia",30519,10822590,230,48945,3557,48588,0.0732073763069071,152659.26354994,3008.64436944452,70.8937652935787,16.268124108346,0.00452248491350037,2.78920761700199
"13307","Webster","Georgia",2348,10822590,893,274165,21663,276595,0.0783202877853902,152659.26354994,6606.01305813172,70.8937652935787,41.50234000257,0.0253326606662546,3.72574981125114
"13309","Wheeler","Georgia",7434,10822590,206,140333,8146,140678,0.057905287251738,152659.26354994,8269.56977891175,70.8937652935787,16.9698066225723,0.0129666743358106,2.83143568392913
"13311","White","Georgia",28454,10822590,157,403526,70593,392616,0.179801638241946,152659.26354994,5657.81527842795,70.8937652935787,71.3218760496758,0.0372855296190653,4.26720309732755
"13313","Whitfield","Georgia",103118,10822590,145,143400,42830,142837,0.299852279171363,152659.26354994,1651.81975844097,70.8937652935787,86.8133458673144,0.0132500630625386,4.46376036407907
"13315","Wilcox","Georgia",8784,10822590,197,80932,3945,81800,0.0482273838630807,152659.26354994,5076.90222614297,70.8937652935787,15.9412169852808,0.00747806209049775,2.76890801833233
"13317","Wilkes","Georgia",9553,10822590,253,29278,1395,29202,0.0477707006369427,152659.26354994,2197.95458880785,70.8937652935787,13.3205663797995,0.00270526740826364,2.58930918521422
"13319","Wilkinson","Georgia",8795,10822590,193,468099,24023,464547,0.0517127438127897,152659.26354994,9253.84237786088,70.8937652935787,50.5842849798146,0.04325203116814,3.92364095453402
"13321","Worth","Georgia",20575,10822590,144,174932,4586,177498,0.025836910838432,152659.26354994,8828.88687162818,70.8937652935787,19.8135962713655,0.016163598547113,2.98636838241539
"15001","Hawaii","Hawaii",203684,1445635,823,203684,22275,200629,0.111025823784199,16772.4293305924,10476.8964928942,86.1911516516693,19.4412534416224,0.140895869289274,2.96739727440342
"15003","Honolulu","Hawaii",1003666,1445635,821,1168341,109254,1181344,0.092482799252377,16772.4293305924,4660.82759243303,86.1911516516693,250.672434633032,0.808185330321969,5.52414704552111
"15005","Kalawao","Hawaii",43,1445635,821,1168341,109254,1181344,0.092482799252377,16772.4293305924,4660.82759243303,86.1911516516693,250.672434633032,0.808185330321969,5.52414704552111
"15007","Kauai","Hawaii",73610,1445635,822,73610,7394,73298,0.100875876558706,16772.4293305924,1634.70524526495,86.1911516516693,45.0295245661058,0.0509188003887565,3.80731837609887
"15009","Maui","Hawaii",164632,1445635,821,1168341,109254,1181344,0.092482799252377,16772.4293305924,4660.82759243303,86.1911516516693,250.672434633032,0.808185330321969,5.52414704552111
"16001","Ada","Idaho",508052,1893296,716,831822,115048,805130,0.142893694186032,215994.147959918,48262.8654850258,8.76549674091791,17.2352385553668,0.43935126889826,2.84695604120561
"16003","Adams","Idaho",4599,1893296,729,41655,6082,40265,0.151049298398113,215994.147959918,8407.34824394916,8.76549674091791,4.95459433715969,0.0220013141104191,1.60031529503787
"16005","Bannock","Idaho",88457,1893296,696,157267,19510,154479,0.126295483528506,215994.147959918,19933.3548674033,8.76549674091791,7.88964030621742,0.0830651942432668,2.06555054525299
"16007","Bear Lake","Idaho",6552,1893296,715,21267,1231,20566,0.0598560731304094,215994.147959918,4441.22641400451,8.76549674091791,4.78854217675973,0.0112327919142068,1.56622601786802
"16009","Benewah","Idaho",9913,1893296,734,263380,11656,253227,0.046029846738302,215994.147959918,20483.6817496462,8.76549674091791,12.8580400349439,0.139111897981087,2.55396929933604
"16011","Bingham","Idaho",48993,1893296,696,157267,19510,154479,0.126295483528506,215994.147959918,19933.3548674033,8.76549674091791,7.88964030621742,0.0830651942432668,2.06555054525299
"16013","Blaine","Idaho",24579,1893296,808,25734,5080,25349,0.200402382736992,215994.147959918,9652.30341872155,8.76549674091791,2.66609936340029,0.013592169423059,0.980616491654744
"16015","Boise","Idaho",8045,1893296,716,831822,115048,805130,0.142893694186032,215994.147959918,48262.8654850258,8.76549674091791,17.2352385553668,0.43935126889826,2.84695604120561
"16017","Bonner","Idaho",49456,1893296,734,263380,11656,253227,0.046029846738302,215994.147959918,20483.6817496462,8.76549674091791,12.8580400349439,0.139111897981087,2.55396929933604
"16019","Bonneville","Idaho",127056,1893296,722,246511,29786,240425,0.123888946656962,215994.147959918,38170.3867845205,8.76549674091791,6.45817401305373,0.130202039195139,1.8653466173205
"16021","Boundary","Idaho",12695,1893296,734,263380,11656,253227,0.046029846738302,215994.147959918,20483.6817496462,8.76549674091791,12.8580400349439,0.139111897981087,2.55396929933604
